specfile,id,OBJECT,cgm_name,gal_ra,gal_dec,z,OII_flux,OII_flux_sig,OII_LQ,Hbeta_flux,Hbeta_flux_sig,Hbeta_LQ,OIII_flux,OIII_flux_sig,OIII_LQ,Halpha_flux,Halpha_flux_sig,Halpha_LQ,NII_flux,NII_flux_sig,NII_LQ,SIIa_flux,SIIa_flux_sig,SIIa_LQ,SIIb_flux,SIIb_flux_sig,SIIb_LQ,Comment
J022612.15+001357.5.fits,J022612.15+001357.5._03,J0226+0015,J0226+0015_201_99,36.55062103,0.23263,0.3532369,1.34E-16,5.04E-18,1,6.99E-17,2.41E-18,1,1.14E-16,2.26E-18,1,1.34E-16,2.92E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022612.18+001407.3.fits,J022612.18+001407.3._01,J0226+0015,J0226+0015_203_89,36.55076981,0.235349998,0.4739671,9.97E-17,2.94E-18,1,5.34E-17,1.50E-18,1,9.79E-17,1.83E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022612.18+001506.0.fits,J022612.18+001506.0._01,J0226+0015,J0226+0015_235_42,36.55075073,0.251679987,0.3494243,1.19E-16,5.90E-18,1,4.59E-17,2.51E-18,1,5.11E-17,2.40E-18,1,1.52E-16,1.85E-18,1,-99,-99,-99,3.77E-17,1.64E-18,1,-99,-99,-99,
J022613.33+001358.7.fits,J022613.33+001358.7._01,J0226+0015,J0226+0015_191_93,36.55553055,0.232969999,0.6095467,1.27E-16,2.90E-18,1,3.52E-17,2.19E-18,1,4.91E-17,1.39E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022614.39+001620.4.fits,J022614.39+001620.4._02,J0226+0015,J0226+0015_359_51,36.55997849,0.272329986,0.3618539,1.21E-16,3.54E-18,1,5.33E-17,1.35E-18,1,8.50E-17,1.55E-18,1,1.42E-16,1.13E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022614.58+001351.4.fits,J022614.58+001351.4._03,J0226+0015,J0226+0015_179_98,36.56074905,0.230949998,0.2928785,-99,-99,0,4.36E-17,3.30E-18,0,6.47E-17,3.05E-18,1,4.59E-17,1.56E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022616.82+001624.7.fits,J022616.82+001624.7._01,J0226+0015,J0226+0015_33_65,36.5700798,0.27353999,0.5590382,4.77E-17,1.40E-18,1,1.57E-17,5.99E-19,1,5.00E-17,1.09E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022617.54+001834.5.fits,J022617.54+001834.5._01,J0226+0015,J0226+0015_14_190,36.57307053,0.309579998,0.39951,-99,-99,-99,3.26E-17,1.79E-18,1,4.24E-17,1.63E-18,1,7.48E-17,7.94E-19,1,8.85E-18,6.46E-19,1,-99,-99,-99,-99,-99,-99,
J022617.99+001447.5.fits,J022617.99+001447.5._02,J0226+0015,J0226+0015_129_68,36.57495117,0.246519998,0.29762,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Wrong redshift?
J022619.99+001435.3.fits,J022619.99+001435.3._02,J0226+0015,J0226+0015_123_99,36.58327103,0.243149996,0.4566662,1.48E-16,4.54E-18,1,4.10E-17,1.60E-18,1,6.04E-17,1.93E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J022622.00+001642.3.fits,J022622.00+001642.3._01,J0226+0015,J0226+0015_57_134,36.59167862,0.278430015,0.2282329,-99,-99,-99,2.62E-16,7.29E-18,1,1.59E-15,1.57E-17,1,1.33E-15,9.96E-18,1,9.98E-16,8.67E-18,1,2.69E-16,6.78E-18,1,2.34E-16,6.69E-18,1,
J080852.41+461747.5.fits,J080852.41+461747.5._03,J0809+4619,J0809+4619_239_190,122.2183914,46.29653931,0.1900968,-99,-99,-99,4.70E-17,1.61E-18,1,1.05E-16,1.79E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080859.67+462048.0.fits,J080859.67+462048.0._04,J0809+4619,J0809+4619_313_120,122.2486191,46.34666824,0.2017999,9.37E-17,1.12E-17,1,1.94E-17,1.54E-18,1,3.69E-17,1.55E-18,1,9.30E-17,9.02E-19,1,1.22E-17,8.39E-19,2,1.66E-17,4.90E-19,1,1.39E-17,4.38E-19,1,
J080901.07+462153.4.fits,J080901.07+462153.4._03,J0809+4619,J0809+4619_334_165,122.2544403,46.36483002,0.22297,-99,-99,-99,-99,-99,2,1.35E-16,1.89E-18,1,-99,-99,2,-99,-99,2,4.80E-17,5.12E-19,2,3.49E-17,4.14E-19,2,
J080901.51+462029.7.fits,J080901.51+462029.7._02,J0809+4619,J0809+4619_313_94,122.2563019,46.34157181,0.1415522,-99,-99,-99,4.10E-17,2.00E-18,1,5.14E-17,2.20E-18,1,-99,-99,2,3.83E-17,6.14E-19,1,3.74E-17,5.03E-19,1,2.52E-17,5.71E-19,1,
J080901.64+461903.3.fits,J080901.64+461903.3._01,J0809+4619,J0809+4619_252_71,122.2568207,46.31758881,0.1472912,-99,-99,-99,-99,-99,2,-99,-99,-99,9.03E-17,2.25E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080903.95+462000.0.fits,J080903.95+462000.0._03,J0809+4619,J0809+4619_308_55,122.2664719,46.33332062,0.3396703,-99,-99,-99,1.04E-17,4.22E-19,1,3.02E-18,3.00E-19,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080903.96+461952.5.fits,J080903.96+461952.5._02,J0809+4619,J0809+4619_302_51,122.2664871,46.33124924,0.6450314,1.11E-16,1.42E-18,1,2.89E-17,7.07E-19,1,2.22E-17,2.88E-19,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080903.97+461911.9.fits,J080903.97+461911.9._04,J0809+4619,J0809+4619_252_45,122.2665329,46.31996918,0.4899354,3.19E-17,1.54E-18,0,1.19E-17,7.65E-19,1,2.04E-17,4.40E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080904.33+461854.9.fits,J080904.33+461854.9._01,J0809+4619,J0809+4619_232_50,122.2680588,46.31526184,0.0745307,-99,-99,-99,-99,-99,-99,7.12E-17,2.49E-18,1,4.11E-17,6.35E-19,2,-99,-99,-99,6.50E-18,3.88E-19,1,3.17E-18,5.82E-19,1,
J080905.28+461944.8.fits,J080905.28+461944.8._01,J0809+4619,J0809+4619_303_35,122.2720108,46.32910919,0.5216943,1.67E-16,2.27E-18,1,4.47E-17,8.13E-19,1,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080906.99+461859.1.fits,J080906.99+461859.1._03,J0809+4619,J0809+4619_204_29,122.2791214,46.31642151,0.6453107,5.19E-17,1.23E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080907.49+461857.9.fits,J080907.49+461857.9._01,J0809+4619,J0809+4619_193_29,122.2812195,46.31607056,0.30687,1.69E-16,9.07E-18,0,-99,-99,2,4.00E-17,1.04E-18,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080908.10+462053.4.fits,J080908.10+462053.4._04,J0809+4619,J0809+4619_360_88,122.2837677,46.34817886,0.1993183,-99,-99,-99,2.62E-17,1.15E-18,1,5.11E-17,1.11E-18,1,5.82E-17,6.65E-19,2,-99,-99,-99,3.66E-18,3.73E-19,1,4.37E-18,3.30E-19,0,
J080909.03+462012.7.fits,J080909.03+462012.7._01,J0809+4619,J0809+4619_11_48,122.2876434,46.33684921,0.56319,6.68E-17,1.78E-18,1,-99,-99,-99,2.98E-17,8.68E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080910.70+461648.6.fits,J080910.70+461648.6._03,J0809+4619,J0809+4619_170_159,122.2945709,46.28017044,0.5308259,2.06E-17,1.59E-18,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080912.38+461901.2.fits,J080912.38+461901.2._02,J0809+4619,J0809+4619_119_50,122.3015671,46.31700897,0.51522,1.05E-16,3.24E-18,1,1.12E-16,1.76E-18,0,5.65E-17,1.11E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080912.98+461846.3.fits,J080912.98+461846.3._02,J0809+4619,J0809+4619_128_64,122.3040848,46.31285095,0.04596,-99,-99,-99,4.25E-16,7.64E-18,1,-99,-99,2,-99,-99,2,-99,-99,2,2.17E-16,1.90E-18,1,1.66E-16,1.49E-18,1,
J080913.42+462053.3.fits,J080913.42+462053.3._01,J0809+4619,J0809+4619_32_103,122.3059235,46.34814835,0.1202273,-99,-99,-99,3.28E-17,1.52E-18,1,-99,-99,2,-99,-99,2,-99,-99,-99,3.76E-18,4.10E-19,1,2.24E-18,2.83E-19,0,
J080913.54+461954.1.fits,J080913.54+461954.1._02,J0809+4619,J0809+4619_63_63,122.3063965,46.33169937,0.520371,4.10E-17,9.71E-19,1,5.59E-18,2.20E-19,1,1.99E-17,3.06E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080913.68+462032.5.fits,J080913.68+462032.5._04,J0809+4619,J0809+4619_41_88,122.3069992,46.34235001,0.5325854,4.36E-17,1.40E-18,1,1.53E-17,4.50E-19,1,1.75E-17,3.96E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080914.29+461822.0.fits,J080914.29+461822.0._01,J0809+4619,J0809+4619_135_90,122.3095322,46.30612183,0.03964,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080914.36+462015.3.fits,J080914.36+462015.3._03,J0809+4619,J0809+4619_52_81,122.3098297,46.33758163,0.58041,3.88E-16,5.35E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080914.57+461655.7.fits,J080914.57+461655.7._04,J0809+4619,J0809+4619_156_164,122.3107071,46.28213882,0.19106,-99,-99,-99,4.39E-17,1.45E-18,1,5.07E-17,1.37E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080916.16+462034.8.fits,J080916.16+462034.8._02,J0809+4619,J0809+4619_50_108,122.3173294,46.3429985,0.5328298,3.84E-17,9.85E-19,1,1.64E-17,3.83E-19,1,1.34E-17,3.19E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080917.09+462018.0.fits,J080917.09+462018.0._02,J0809+4619,J0809+4619_61_106,122.3211899,46.33832169,0.4547493,8.04E-17,2.99E-18,1,4.28E-17,7.62E-19,1,1.92E-17,9.05E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080918.23+462003.8.fits,J080918.23+462003.8._01,J0809+4619,J0809+4619_70_111,122.3259583,46.3343811,0.619048,2.68E-17,1.13E-18,1,-99,-99,-99,1.54E-17,4.13E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080918.25+461934.8.fits,J080918.25+461934.8._02,J0809+4619,J0809+4619_85_105,122.3260574,46.32632828,0.5301171,4.75E-17,2.16E-18,1,3.72E-17,8.22E-19,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080918.30+461849.1.fits,J080918.30+461849.1._03,J0809+4619,J0809+4619_109_112,122.3262711,46.31364822,0.5460023,3.88E-17,1.27E-18,1,1.66E-17,4.43E-19,1,3.18E-17,6.04E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080918.56+462004.3.fits,J080918.56+462004.3._03,J0809+4619,J0809+4619_70_115,122.3273163,46.33452988,0.5209032,9.85E-17,1.63E-18,1,2.90E-17,5.91E-19,1,4.13E-17,5.30E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080919.08+461822.7.fits,J080919.08+461822.7._01,J0809+4619,J0809+4619_119_130,122.3295135,46.30630112,0.5856453,8.17E-17,1.19E-18,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080920.17+461921.0.fits,J080920.17+461921.0._03,J0809+4619,J0809+4619_92_125,122.334053,46.32249069,0.2277593,4.81E-17,5.77E-18,0,-99,-99,-99,1.21E-17,7.83E-19,1,7.41E-18,4.19E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080922.68+461807.1.fits,J080922.68+461807.1._01,J0809+4619,J0809+4619_118_170,122.3444977,46.30197906,0.4060064,8.24E-17,3.34E-18,1,2.07E-17,6.26E-19,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080922.73+462045.6.fits,J080922.73+462045.6._02,J0809+4619,J0809+4619_62_171,122.3447266,46.34598923,0.37212,3.28E-17,2.65E-18,1,1.92E-17,6.39E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080924.29+461813.9.fits,J080924.29+461813.9._02,J0809+4619,J0809+4619_113_182,122.3512039,46.30385971,0.39287,3.50E-17,3.34E-18,1,5.10E-18,5.69E-19,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J080924.99+461958.6.fits,J080924.99+461958.6._03,J0809+4619,J0809+4619_79_178,122.3541107,46.33293915,0.12859,-99,-99,-99,-99,-99,2,1.29E-16,2.55E-18,1,-99,-99,2,-99,-99,2,1.09E-16,1.03E-18,1,5.25E-17,8.10E-19,1,
J084339.35+412003.6.fits,J084339.35+412003.6._06,J0843+4117,J0843+4117_321_182,130.9139404,41.33433914,0.9685954,5.91E-17,1.32E-18,1,6.40E-18,8.38E-19,1,1.95E-17,6.15E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084340.92+411951.6.fits,J084340.92+411951.6._05,J0843+4117,J0843+4117_323_162,130.9205017,41.33100891,0.5424742,2.15E-17,3.74E-18,0,1.40E-17,1.22E-18,1,2.62E-17,1.55E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084340.94+411529.3.fits,J084340.94+411529.3._06,J0843+4117,J0843+4117_216_164,130.9205627,41.25814819,0.394573,-99,-99,-99,8.48E-18,6.24E-19,1,1.63E-17,6.51E-19,1,6.51E-19,3.25E-19,1,1.20E-18,2.19E-19,1,-99,-99,-99,-99,-99,-99,
J084341.89+411628.9.fits,J084341.89+411628.9._04,J0843+4117,J0843+4117_230_112,130.92453,41.27468109,0.8041092,2.21E-17,9.79E-19,1,-99,-99,-99,2.35E-18,2.73E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084341.93+411834.4.fits,J084341.93+411834.4._04,J0843+4117,J0843+4117_302_100,130.9246979,41.30955124,0.9476911,5.11E-17,8.71E-19,1,2.75E-17,1.39E-18,1,5.14E-18,5.27E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084342.77+411946.2.fits,J084342.77+411946.2._05,J0843+4117,J0843+4117_329_146,130.9282074,41.32949829,0.5430134,8.58E-17,2.34E-18,1,3.06E-17,8.59E-19,1,1.12E-16,2.01E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084342.92+411709.7.fits,J084342.92+411709.7._05,J0843+4117,J0843+4117_247_81,130.928833,41.28602982,0.8889002,1.55E-16,1.54E-18,1,1.87E-17,1.22E-18,1,5.23E-17,1.11E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084343.23+411619.7.fits,J084343.23+411619.7._06,J0843+4117,J0843+4117_221_108,130.9301147,41.27212906,0.6599062,1.70E-16,1.84E-18,1,4.22E-17,7.06E-19,1,1.17E-16,9.36E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084343.23+411929.9.fits,J084343.23+411929.9._04,J0843+4117,J0843+4117_327_129,130.9301147,41.32497025,0.4454792,5.60E-17,5.11E-18,1,3.69E-17,6.59E-19,1,6.47E-17,1.30E-18,1,4.60E-17,9.04E-19,1,7.31E-18,1.01E-18,1,4.38E-18,8.01E-19,1,6.94E-18,9.33E-19,0,
J084343.43+411950.8.fits,J084343.43+411950.8._04,J0843+4117,J0843+4117_332_146,130.9309692,41.33076859,0.7489341,1.01E-16,1.53E-18,1,2.30E-17,9.07E-19,1,6.53E-17,1.17E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084344.02+411656.5.fits,J084344.02+411656.5._05,J0843+4117,J0843+4117_234_76,130.9333954,41.28234863,0.7396413,9.98E-17,1.50E-18,1,3.33E-17,8.20E-19,1,1.38E-17,5.47E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084344.07+411851.7.fits,J084344.07+411851.7._04,J0843+4117,J0843+4117_319_93,130.9336395,41.31435013,0.6486442,2.82E-17,2.31E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084344.56+411740.5.fits,J084344.56+411740.5._06,J0843+4117,J0843+4117_269_56,130.9356537,41.29459,0.6605383,2.83E-17,1.24E-18,1,6.14E-18,4.74E-19,1,1.70E-17,5.16E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084344.65+412002.4.fits,J084344.65+412002.4._05,J0843+4117,J0843+4117_339_151,130.9360504,41.33399963,0.5934164,3.18E-17,2.62E-18,1,5.86E-18,4.13E-19,0,3.24E-17,1.38E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084344.73+411804.0.fits,J084344.73+411804.0._06,J0843+4117,J0843+4117_293_58,130.9363861,41.30110931,0.4681429,7.79E-17,3.84E-18,1,2.01E-17,7.82E-19,1,3.72E-17,9.82E-19,1,1.92E-17,1.04E-18,1,3.53E-18,9.42E-19,1,-99,-99,-99,-99,-99,-99,
J084344.77+411822.6.fits,J084344.77+411822.6._05,J0843+4117,J0843+4117_308_67,130.9365387,41.30628967,0.28566,-99,-99,-99,3.47E-17,2.48E-18,1,1.36E-17,1.87E-18,0,-99,-99,2,4.25E-17,2.26E-18,1,1.96E-17,1.41E-18,1,1.06E-17,1.16E-18,1,
J084344.80+412010.7.fits,J084344.80+412010.7._04,J0843+4117,J0843+4117_340_158,130.9366455,41.33631897,0.2543936,-99,-99,-99,3.63E-17,2.43E-18,1,6.12E-17,2.96E-18,1,1.00E-16,1.08E-18,1,1.88E-17,7.59E-19,1,3.07E-17,3.22E-18,2,1.84E-17,8.07E-19,2,
J084345.02+411911.4.fits,J084345.02+411911.4._06,J0843+4117,J0843+4117_331_103,130.9375763,41.31983948,0.81395,3.65E-17,1.04E-18,1,4.69E-18,3.17E-19,0,9.58E-18,3.70E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084345.32+411945.3.fits,J084345.32+411945.3._04,J0843+4117,J0843+4117_339_132,130.9388275,41.32926178,0.5800296,5.61E-17,2.42E-18,1,2.62E-17,6.85E-19,1,5.11E-17,1.42E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084345.42+411617.2.fits,J084345.42+411617.2._04,J0843+4117,J0843+4117_208_96,130.93927,41.27145004,0.5419555,9.12E-17,3.28E-18,1,8.71E-17,1.40E-18,1,1.96E-17,1.77E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084345.43+411927.0.fits,J084345.43+411927.0._05,J0843+4117,J0843+4117_337_115,130.9393005,41.32416916,0.9275651,1.89E-16,1.54E-18,1,2.20E-17,1.36E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084346.26+411928.0.fits,J084346.26+411928.0._06,J0843+4117,J0843+4117_341_112,130.942749,41.32445145,0.6477451,2.19E-17,2.14E-18,1,5.52E-18,8.09E-19,1,1.53E-17,5.98E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084346.70+411845.1.fits,J084346.70+411845.1._05,J0843+4117,J0843+4117_334_71,130.9445953,41.31251907,0.8084865,4.18E-17,1.21E-18,1,1.76E-17,8.05E-19,1,6.27E-18,5.69E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084346.79+411735.0.fits,J084346.79+411735.0._06,J0843+4117,J0843+4117_258_31,130.9449615,41.2930603,0.2984653,-99,-99,-99,7.27E-17,1.90E-18,1,1.17E-16,1.50E-18,1,1.38E-16,7.58E-19,1,1.54E-17,5.93E-19,1,2.58E-17,5.68E-19,1,1.92E-17,4.98E-19,1,
J084347.23+411533.9.fits,J084347.23+411533.9._04,J0843+4117,J0843+4117_191_130,130.9467926,41.25941086,0.4597967,2.38E-17,3.30E-18,0,1.59E-17,8.96E-19,1,3.12E-17,1.19E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084347.28+412011.0.fits,J084347.28+412011.0._05,J0843+4117,J0843+4117_351_151,130.946991,41.33638,0.3394779,-99,-99,-99,3.26E-17,1.04E-18,1,6.67E-17,1.35E-18,1,6.41E-17,6.93E-19,1,7.63E-18,7.58E-19,1,6.96E-18,7.88E-19,1,6.05E-18,3.08E-19,1,
J084348.11+411656.9.fits,J084348.11+411656.9._06,J0843+4117,J0843+4117_199_47,130.9504547,41.2824707,0.4788563,-99,-99,-99,2.38E-17,1.03E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084348.19+411612.6.fits,J084348.19+411612.6._05,J0843+4117,J0843+4117_189_90,130.9507904,41.27016068,0.8897961,4.34E-17,1.21E-18,1,5.46E-18,3.37E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084348.40+411646.7.fits,J084348.40+411646.7._05,J0843+4117,J0843+4117_193_56,130.9516602,41.2796402,0.5756506,9.88E-17,3.03E-18,1,2.95E-17,9.95E-19,1,7.27E-17,1.79E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084348.79+411732.9.fits,J084348.79+411732.9._04,J0843+4117,J0843+4117_222_12,130.9532928,41.29246902,0.5323377,6.57E-17,2.87E-18,1,3.77E-17,1.04E-18,1,2.97E-17,1.21E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084349.02+411751.5.fits,J084349.02+411751.5._06,J0843+4117,J0843+4117_332_11,130.9542542,41.29763031,0.5409919,1.40E-16,2.24E-18,1,5.39E-17,8.00E-19,1,6.92E-17,1.27E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084349.11+411757.2.fits,J084349.11+411757.2._04,J0843+4117,J0843+4117_345_16,130.9546356,41.29922104,0.7400854,7.77E-17,1.76E-18,1,2.40E-17,1.21E-18,1,1.61E-17,5.41E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084349.68+411820.3.fits,J084349.68+411820.3._06,J0843+4117,J0843+4117_3_39,130.9569855,41.30562973,0.45519,8.45E-17,4.92E-18,1,3.44E-17,1.48E-18,1,1.34E-17,1.51E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084350.39+411914.4.fits,J084350.39+411914.4._05,J0843+4117,J0843+4117_6_93,130.9599762,41.32067108,0.414682,3.97E-17,2.95E-18,1,1.40E-17,6.17E-19,1,3.94E-17,9.75E-19,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
J084350.43+411952.4.fits,J084350.43+411952.4._06,J0843+4117,J0843+4117_5_131,130.9601288,41.33121109,0.5957756,1.24E-16,2.06E-18,1,3.00E-17,9.64E-19,1,6.62E-17,1.05E-18,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
